rank,nickname,score,guild,date,boss_order,boss_level
1,쩨나찌,1235423,PPP-M,20260117,1,22
2,틀노노,1001650,PPP-M,20260117,1,22
3,익팜,902947,PPP-M,20260117,1,22
4,버폭,801300,PPP-M,20260117,1,22
5,홍형,800830,PPP-M,20260117,1,22
6,떱이요,710710,PPP-M,20260117,1,22
7,왕방코,603685,PPP-M,20260117,1,22
8,김국밥씨,543524,PPP-M,20260117,1,22
9,띤이,500490,PPP-M,20260117,1,22
10,켓히어럼,498084,PPP-M,20260117,1,22
11,띵회,460790,PPP-M,20260117,1,22
12,쉐프,446200,PPP-M,20260117,1,22
13,doyoungkim,406560,PPP-M,20260117,1,22
14,아기오리,372330,PPP-M,20260117,1,22
1,홍형,1201490,PPP-M,20260117,2,34
2,떱이요,1000145,PPP-M,20260117,2,34
3,버폭,996060,PPP-M,20260117,2,34
4,뺌삐삐,969060,PPP-M,20260117,2,34
5,아기오리,601020,PPP-M,20260117,2,34
6,doyoungkim,501600,PPP-M,20260117,2,34
7,쉐프,501150,PPP-M,20260117,2,34
8,띤이,500490,PPP-M,20260117,2,34
9,띵회,500300,PPP-M,20260117,2,34
10,익팜,401100,PPP-M,20260117,2,34
11,왕방코,398980,PPP-M,20260117,2,34
12,김국밥씨,371049,PPP-M,20260117,2,34
13,켓히어럼,318858,PPP-M,20260117,2,34
14,틀노노,3910,PPP-M,20260117,2,34
15,쩨나찌,2350,PPP-M,20260117,2,34
1,홍형,1001160,PPP-M,20260117,3,34
2,뺌삐삐,700800,PPP-M,20260117,3,34
3,아기오리,601020,PPP-M,20260117,3,34
4,쩨나찌,500550,PPP-M,20260117,3,34
5,틀노노,500370,PPP-M,20260117,3,34
6,떱이요,402340,PPP-M,20260117,3,34
7,띤이,402000,PPP-M,20260117,3,34
8,쉐프,401700,PPP-M,20260117,3,34
9,띵회,400340,PPP-M,20260117,3,34
10,김국밥씨,375876,PPP-M,20260117,3,34
11,익팜,350700,PPP-M,20260117,3,34
12,doyoungkim,300960,PPP-M,20260117,3,34
13,왕방코,100100,PPP-M,20260117,3,34
14,버폭,9315,PPP-M,20260117,3,34
1,뺌삐삐,994562,PPP-M,20260117,4,37
2,띤이,762817,PPP-M,20260117,4,37
3,띵회,600330,PPP-M,20260117,4,37
4,틀노노,600000,PPP-M,20260117,4,37
5,익팜,593332,PPP-M,20260117,4,37
6,아기오리,567833,PPP-M,20260117,4,37
7,doyoungkim,501600,PPP-M,20260117,4,37
8,쉐프,501150,PPP-M,20260117,4,37
9,왕방코,360436,PPP-M,20260117,4,37
10,김국밥씨,358197,PPP-M,20260117,4,37
11,켓히어럼,327995,PPP-M,20260117,4,37
12,쩨나찌,200100,PPP-M,20260117,4,37
13,홍형,8480,PPP-M,20260117,4,37
14,떱이요,7410,PPP-M,20260117,4,37
15,버폭,6710,PPP-M,20260117,4,37
1,쩨나찌,759000,PPP-M,20260117,5,39
2,틀노노,633759,PPP-M,20260117,5,39
3,버폭,605860,PPP-M,20260117,5,39
4,띵회,412230,PPP-M,20260117,5,39
5,왕방코,320494,PPP-M,20260117,5,39
6,쉐프,301070,PPP-M,20260117,5,39
7,doyoungkim,300960,PPP-M,20260117,5,39
8,켓히어럼,273994,PPP-M,20260117,5,39
9,익팜,265930,PPP-M,20260117,5,39
10,띤이,263310,PPP-M,20260117,5,39
11,김국밥씨,182090,PPP-M,20260117,5,39
12,아기오리,124740,PPP-M,20260117,5,39
13,홍형,5490,PPP-M,20260117,5,39
14,뺌삐삐,2850,PPP-M,20260117,5,39
1,떱이요,1200315,PPP-M,20260117,6,34
2,홍형,1001160,PPP-M,20260117,6,34
3,켓히어럼,383901,PPP-M,20260117,6,34
4,뺌삐삐,362400,PPP-M,20260117,6,34
5,쩨나찌,342700,PPP-M,20260117,6,34
6,틀노노,297560,PPP-M,20260117,6,34
7,doyoungkim,235840,PPP-M,20260117,6,34
8,띤이,207030,PPP-M,20260117,6,34
9,쉐프,201365,PPP-M,20260117,6,34
10,아기오리,187110,PPP-M,20260117,6,34
11,띵회,159340,PPP-M,20260117,6,34
12,왕방코,124800,PPP-M,20260117,6,34
13,익팜,93280,PPP-M,20260117,6,34
14,김국밥씨,25020,PPP-M,20260117,6,34
15,버폭,1500,PPP-M,20260117,6,34
1,버폭,840310,PPP-M,20260117,7,22
2,떱이요,418570,PPP-M,20260117,7,22
3,홍형,364290,PPP-M,20260117,7,22
4,띵회,153070,PPP-M,20260117,7,22
5,쉐프,121210,PPP-M,20260117,7,22
6,켓히어럼,99660,PPP-M,20260117,7,22
7,틀노노,28260,PPP-M,20260117,7,22
8,뺌삐삐,19300,PPP-M,20260117,7,22
9,띤이,6030,PPP-M,20260117,7,22
10,익팜,4240,PPP-M,20260117,7,22
11,김국밥씨,2780,PPP-M,20260117,7,22
12,아기오리,1890,PPP-M,20260117,7,22
